t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1758267060,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758267090,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758267120,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758267150,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758267180,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758267210,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758267240,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758267270,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758267300,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758267330,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758267360,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758267390,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758267420,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758267450,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758267480,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758267510,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758267540,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758267570,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758267600,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758267630,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758267660,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758267690,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758267720,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758267750,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758267780,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758267810,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758267840,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758267870,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758267900,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758267930,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758267960,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758267990,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758268020,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758268050,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758268080,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758268110,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758268140,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758268170,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758268200,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758268231,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758268261,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758268291,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758268321,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758268351,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758268381,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758268411,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758268441,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758268471,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758268501,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
